accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.2418,1.4686,-2.9418,134.5825,-59.7534,-80.6885,shake
-0.1506,-1.0924,3.3630,171.6308,494.3847,183.8989,shake
-0.1453,0.9608,-0.3983,-83.1299,-446.4111,-141.0522,shake
-0.4646,0.1600,0.0953,68.9697,288.4521,59.9365,shake
0.3136,0.0253,2.4524,-42.7246,-127.3193,-51.5747,shake
-0.7609,0.4808,-3.0822,81.1157,-169.1284,-15.9912,shake
0.8125,-0.5537,3.9999,1.5869,368.7744,55.0537,shake
-0.2590,0.4144,-3.4318,-61.1572,-412.6587,-6.1035,shake
0.0009,-0.0229,3.6843,189.5141,492.4926,-17.3340,shake
0.0006,0.4832,-1.2987,-177.0630,-443.9697,-9.2163,shake
-0.0182,0.1832,0.2195,63.9648,274.9634,32.2266,shake
0.5693,-0.3929,3.9999,-25.1465,-106.2012,-16.9067,shake
-0.3306,0.7028,-3.1993,-109.1309,-126.2817,62.9883,shake
0.6337,-1.1329,3.9999,181.2744,269.5312,66.8945,shake
0.7635,-0.6498,0.3285,-152.2827,55.2978,42.2974,shake
0.7671,-0.6536,0.2196,-102.4780,-6.2866,-54.9927,shake
0.8553,0.6490,-0.3766,58.1055,-58.7158,-155.6396,shake
-0.0151,-0.7202,0.4402,-28.3203,121.2768,305.8472,shake
-0.1089,-3.6849,1.1418,-7.5684,-79.4678,-157.6538,shake
-0.1089,-3.6849,1.1418,-7.5684,-79.4678,-157.6538,shake
-0.2518,-0.3745,0.2837,15.0146,196.5942,380.4931,shake
0.1932,-2.6317,1.4777,-15.4419,-13.7329,-73.9136,shake
-0.1208,1.9491,-0.8766,-13.9160,-160.3394,-308.3496,shake
-0.4703,-2.8607,1.4030,1.5869,239.2578,528.6255,shake
0.0183,-0.2040,0.6072,7.6904,-145.2026,-399.4751,shake
-0.0063,3.4337,-2.0288,15.8691,-201.4160,-311.1572,shake
-0.2378,-4.0000,1.5376,11.3525,102.4780,276.4893,shake
0.0699,-0.0730,0.3483,-3.4180,-166.0766,-408.9966,shake
-0.3472,2.0975,-1.6962,10.9863,5.6152,50.0488,shake
-0.0883,-3.9728,1.6676,-27.6489,-9.0332,-86.9141,shake
-0.0177,2.5009,-1.2471,46.2646,-232.8491,-498.1689,shake
-0.2344,-0.8236,0.3954,-19.7754,194.7021,440.2466,shake
0.1874,-2.2749,0.8698,13.4888,-28.6865,-128.6621,shake
-0.0002,2.9180,-1.8937,70.0073,-126.2817,-250.2441,shake
0.8733,0.1019,0.2423,-35.5835,-102.9663,-106.7505,shake
0.7856,-0.2024,-0.3058,-9.0942,-23.9868,39.0625,shake
0.6188,-1.7012,0.6953,28.0762,54.1992,69.5190,shake
0.6188,-1.7012,0.6953,28.0762,54.1992,69.5190,shake
-0.6021,2.4006,-1.3536,42.4805,45.5322,-17.8223,shake
-0.4525,-3.9255,1.9972,-98.1445,160.0342,271.5454,shake
0.1375,3.0994,-1.5903,33.0200,-242.4316,-449.8291,shake
-0.5035,-2.2915,1.0936,-31.0669,252.2583,513.9160,shake
-0.1968,-3.1575,1.2986,-32.2266,39.7949,15.6860,shake
-0.0245,2.6157,-1.3401,10.3760,16.6016,-11.7187,shake
-0.6642,-4.0000,1.4736,-84.4116,154.2358,362.2436,shake
-0.1727,-0.1367,0.1761,62.0728,-179.8706,-471.5576,shake
-0.7345,-0.7832,0.6100,-21.8506,286.4990,528.0762,shake
